InvSubGroupID,InvGroupID,InvSubGroupName,Remark,DailyReportOrder,Created
30503,10006,MOULDING O/F,,,
30504,10006,DOOR O/F,,,
30505,10006,DOOR HANDLE O/F,,,
30506,10006,TRIM O/F,,,
30507,10006,ENGINE COVER O/F,,,
30508,10012,RADIATOR O/F,,,
30509,10006,FENDER BRACKET O/F,,,
30510,10006,FENDER LINING O/F,,,
30511,10006,FENDER O/F,,,
30512,10006,FENDER REPAIR,,,
30513,10006,FLOOR PANEL REPAIR,,,
30514,10006,SUPPORT PANEL REPAIR,,,
30515,10013,HEAD LIGHT O/F,,,
30516,10006,SUPPORT PANEL O/F,,,
30517,10006,BONET O/F,,,
30518,10006,BONET REPAIR,,,
30519,10006,BONET LOCK PANEL O/F,,,
30520,10006,BONET LOCK PANEL REPAIR,,,
30521,10006,SHOW GRILL O/F,,,
30522,10016,MUD FLAP O/F,,,
30523,10006,SEAT O/F,,,
30524,10017,SILENCER WELDING,,,
30525,10026,COMMON RAIL,,,
30526,10012,COOLANT PUMP,,,
30527,10017,OIL PRESSURE SWITCH,,,
30528,10007,TYRE O/F,,,
30529,10028,SEAT COVER PADDING,,,
30530,10016,VEHICLE JACK,,,
30531,10006,TAILGATE MOULDING,,,
30532,10016,HEAD REST,,,
30533,10006,TAILGATE TRIM,,,
30534,10017,THROTTLE BODY,,,
30535,10012,TEMPERATURE SENSOR,,,
30536,10006,BUMPER SPOILER,,,
30537,10007,WHEEL RIM O/F,,,
30538,10017,BATTERY BRACKET,,,
30539,10017,EGR COOLER,,,
30540,10006,BUMPER TRIM,,,
30541,10006,MIRROR SWITCH,,,
40538,10006,ROOF MOULDING,,,
40539,10013,RADIATOR MODULE,,,
40540,10011,POWER STEERING OIL TANK,,,
40541,10017,PISTON RING,,,
40542,10017,PISTON,,,
40543,10006,FLOOR PANEL,,,
40544,10028,STEERING WHEEL PADDING,,,
40545,10028,ARM REST PADDING,,,
40546,10016,SEAT COVER,,,
40547,10013,STARTER SOLENOID SWITCH,,,
40548,10016,REMOTE COVER,,,
40549,10016,GRAPHICS,,,
40550,10013,ACTUATOR,,,
40551,10016,ARM REST,,,
40552,10016,WHEEL CLEANER,,,
40553,10016,SEAT POCKET,,,
40554,10016,TISSUE PAPER,,,
40555,10013,ALTERNATOR REGULATOR,,,
40556,10006,TAILGATE SKIRT,,,
40557,10006,DOOR PROTECTOR,,,
40558,10016,DOOR STRIP,,,
40559,10006,TAILGATE HANDLE,,,
40560,10026,FUEL PUMP MOTOR,,,
40561,10016,POLISHING COMPOUND,,,
40562,10017,AIR COOLER DUCT,,,
40563,10016,POWER BANK,,,
40564,10016,PUNCTURE REPAIR KIT,,,
40565,10006,SEAT KNOB,,,
40566,10006,TAILGATE REFLECTOR,,,
40567,10029,TIMING COVER,,,
40568,10016,MIRROR FOLD,,,
40569,10007,PROMISE PLAN,,,
40570,10006,DASHBOARD,,,
40571,10006,TAILGATE REPAIR,,,
40572,10013,FOG LIGHT FITTING,,,
40573,10003,CALIPER GREASING,,,
40574,10019,PROTECTION KIT,,,
40575,10017,OIL PUMP,,,
40576,10029,TIMING CHAIN,,,
40577,10017,ROCKER ARM,,,
40578,10017,HLA,,,
40579,10019,DISINFECTANT TREATMENT,,,
40580,10033,DEWATERING,,,
40581,10006,TAILGATE O/F,,,
40582,10028,TAILGATE TRIM PADDING,,,
40583,10004,PNEUMATIC VALVE,,,
40584,10026,INJECTOR VALVE,,,
40585,10019,ANTI RUST COATING,,,
40586,10019,WATER REPELLENT TREATMENT,,,
40587,10016,PPF FILM,,,
40588,10006,ROOF TOP REPAIR,,,
40589,10016,STICKER,,,
40590,10016,FILM INSTALLATION,,,
40591,10016,GLASS FILM,,,
40592,10004,SUSPENSION CROSS O/F,,,
40593,10008,WASHING CONSUMABLE,,,
40594,10010,WIPER COWL,,,
40595,10032,AIRBAG O/F,,,
40596,10032,AIRBAG ASSY,,,
40597,10019,CHROME CLEANING,,,
40598,10013,MUSIC SYSTEM FITTING,,,
40599,10016,CAMERA FITTING,,,
40600,10016,SPEAKER FITTING,,,
40601,10016,SPEAKER REPAIR,,,
