LabourName,HSNACSNo,OutSideLabour,Rate,Remarks,Service,Vat,AVat,InvGroupName,InvSubGroupName,LabourDesc,TotalAmount,LabourName1,MainDepartmentName
STRUT ASSY O/F FR BH,998729,0,2322.03,,9,9,0,SUSPENSION,STRUT O/F,SEG-D,2740,STRUT ASSY O/F FR BH - SEG-D,Mechanical
STRUT ASSY O/F FR BH,998729,0,3050.85,,9,9,0,SUSPENSION,STRUT O/F,SEG-F,3600,STRUT ASSY O/F FR BH - SEG-F,Mechanical
STRUT ASSY O/F FR BH,998729,0,7313.56,,9,9,0,SUSPENSION,STRUT O/F,SEG-P2,8630,STRUT ASSY O/F FR BH - SEG-P2,Mechanical
STRUT ASSY O/F FR BH,998729,0,12186.44,,9,9,0,SUSPENSION,STRUT O/F,SEG-P3,14380,STRUT ASSY O/F FR BH - SEG-P3,Mechanical
STRUT ASSY O/F FR BH,998729,0,17059.32,,9,9,0,SUSPENSION,STRUT O/F,SEG-P4,20130,STRUT ASSY O/F FR BH - SEG-P4,Mechanical
STRUT ASSY O/F FR LH,998729,0,669.49,,9,9,0,SUSPENSION,STRUT O/F,SEG-A,790,STRUT ASSY O/F FR LH - SEG-A,Mechanical
STRUT ASSY O/F FR LH,998729,0,669.49,,9,9,0,SUSPENSION,STRUT O/F,SEG-B,790,STRUT ASSY O/F FR LH - SEG-B,Mechanical
STRUT ASSY O/F FR LH,998729,0,855.93,,9,9,0,SUSPENSION,STRUT O/F,SEG-C,1010,STRUT ASSY O/F FR LH - SEG-C,Mechanical
STRUT ASSY O/F FR LH,998729,0,1152.54,,9,9,0,SUSPENSION,STRUT O/F,SEG-D,1360,STRUT ASSY O/F FR LH - SEG-D,Mechanical
STRUT ASSY O/F FR LH,998729,0,1525.42,,9,9,0,SUSPENSION,STRUT O/F,SEG-F,1800,STRUT ASSY O/F FR LH - SEG-F,Mechanical
STRUT ASSY O/F FR LH,998729,0,3050.85,,9,9,0,SUSPENSION,STRUT O/F,SEG-P1,3600,STRUT ASSY O/F FR LH - SEG-P1,Mechanical
STRUT ASSY O/F FR LH,998729,0,3652.54,,9,9,0,SUSPENSION,STRUT O/F,SEG-P2,4310,STRUT ASSY O/F FR LH - SEG-P2,Mechanical
STRUT ASSY O/F FR LH,998729,0,6093.22,,9,9,0,SUSPENSION,STRUT O/F,SEG-P3,7190,STRUT ASSY O/F FR LH - SEG-P3,Mechanical
STRUT ASSY O/F FR LH,998729,0,855.93,,9,9,0,SUSPENSION,STRUT O/F,SEG-E,1010,STRUT ASSY O/F FR LH - SEG-E,Mechanical
STRUT ASSY O/F FR LH,998729,0,8525.42,,9,9,0,SUSPENSION,STRUT O/F,SEG-P4,10060,STRUT ASSY O/F FR LH - SEG-P4,Mechanical
STRUT ASSY O/F FR RH,998729,0,8525.42,,9,9,0,SUSPENSION,STRUT O/F,SEG-P4,10060,STRUT ASSY O/F FR RH - SEG-P4,Mechanical
STRUT ASSY O/F FR RH,998729,0,855.93,,9,9,0,SUSPENSION,STRUT O/F,SEG-E,1010,STRUT ASSY O/F FR RH - SEG-E,Mechanical
STRUT ASSY O/F FR RH,998729,0,669.49,,9,9,0,SUSPENSION,STRUT O/F,SEG-A,790,STRUT ASSY O/F FR RH - SEG-A,Mechanical
STRUT ASSY O/F FR RH,998729,0,669.49,,9,9,0,SUSPENSION,STRUT O/F,SEG-B,790,STRUT ASSY O/F FR RH - SEG-B,Mechanical
STRUT ASSY O/F FR RH,998729,0,855.93,,9,9,0,SUSPENSION,STRUT O/F,SEG-C,1010,STRUT ASSY O/F FR RH - SEG-C,Mechanical
STRUT ASSY O/F FR RH,998729,0,1152.54,,9,9,0,SUSPENSION,STRUT O/F,SEG-D,1360,STRUT ASSY O/F FR RH - SEG-D,Mechanical
STRUT ASSY O/F FR RH,998729,0,1525.42,,9,9,0,SUSPENSION,STRUT O/F,SEG-D,1800,STRUT ASSY O/F FR RH - SEG-D,Mechanical
STRUT ASSY O/F FR RH,998729,0,3050.85,,9,9,0,SUSPENSION,STRUT O/F,SEG-P1,3600,STRUT ASSY O/F FR RH - SEG-P1,Mechanical
STRUT ASSY O/F FR RH,998729,0,3652.54,,9,9,0,SUSPENSION,STRUT O/F,SEG-P2,4310,STRUT ASSY O/F FR RH - SEG-P2,Mechanical
STRUT ASSY O/F FR RH,998729,0,6093.22,,9,9,0,SUSPENSION,STRUT O/F,SEG-P3,7190,STRUT ASSY O/F FR RH - SEG-P3,Mechanical
STRUT ASSY REPAIR FR LH,998729,1,7194.92,,9,9,0,SUSPENSION,STRUT,SEG-P1,8490,STRUT ASSY REPAIR FR LH - SEG-P1,Mechanical
